10.3390/nu14112243,Cytokine Pattern of Peripheral Blood Mononuclear Cells Isolated from Children Affected by Generalized Epilepsy Treated with Different Protein Fractions of Meat Sources,Nutrients
10.3390/nu14020242,The Intake of Phosphorus and Nitrites through Meat Products: A Health Risk Assessment of Children Aged 1 to 9 Years Old in Serbia,Nutrients
10.3390/nu14194152,Plant-Based Dietary Patterns versus Meat Consumption and Prevalence of Impaired Glucose Intolerance and Diabetes Mellitus: A Cross-Sectional Study in Australian Women,Nutrients
10.3390/nu14163430,"Role of Dairy Foods, Fish, White Meat, and Eggs in the Prevention of Colorectal Cancer: A Systematic Review of Observational Studies in 2018–2022",Nutrients
10.3390/nu14193973,Nudging Finnish Adults into Replacing Red Meat with Plant-Based Protein via Presenting Foods as Dish of the Day and Altering the Dish Sequence,Nutrients
10.3390/nu14153110,Indexing of Fatty Acids in Poultry Meat for Its Characterization in Healthy Human Nutrition: A Comprehensive Application of the Scientific Literature and New Proposals,Nutrients
10.3390/nu14081666,"Effect of Dietary Enrichment with Flaxseed, Vitamin E and Selenium, and of Market Class on the Broiler Breast Meat—Part 1: Nutritional and Functional Traits",Nutrients
10.3390/nu14132672,"Correction: Mathur et al. Effectiveness of a Theory-Informed Documentary to Reduce Consumption of Meat and Animal Products: Three Randomized Controlled Experiments. Nutrients 2021, 13, 4555",Nutrients
10.3390/nu14061257,"Most Frequently Consumed Red/Processed Meat Dishes and Plant-Based Foods and Their Contribution to the Intake of Energy, Protein, and Nutrients-to-Limit among Canadians",Nutrients
10.1017/s0029665121002433,"Meat consumption: attitudes and beliefs of meat-eating, meat-reducing and non-meat-eating subjects in the Republic of Ireland",Proceedings of the Nutrition Society
10.1017/s002966512200132x,The nutritional profile of plant-based meat alternatives compared with meat products: an audit of products available in the UK and Ireland,Proceedings of the Nutrition Society
10.1017/s0029665121002639,Improving vitamin D content in pork meat by UV bio-enrichment,Proceedings of the Nutrition Society
10.1017/s0029665122002129,Dietitians’ attitudes towards meat-alternatives in food-based dietary guidelines: findings from a survey,Proceedings of the Nutrition Society
10.1017/s0029665122001380,Bioavailability of vitamin D biofortified pork meat: results of an acute human crossover study,Proceedings of the Nutrition Society
10.1017/s0029665122001653,Attitudes and beliefs towards meat substitute products among adult male omnivores in the republic of Ireland,Proceedings of the Nutrition Society
10.1017/s0029665121003372,Evaluating the nutritional quality of UK meat and dairy analogues compared to conventional animal products using multiple nutrient profiling models,Proceedings of the Nutrition Society
10.1093/cdn/nzab053_064,Variation in Red Meat Categories Meaningfully Influences Red Meat Intake Estimates of the U.S. Population Aged 2\xa0+\xa0Years,Current Developments in Nutrition
10.1093/cdn/nzab038_036,Effect of an Intermittent Meat Protein Diet on Colon Homeostasis,Current Developments in Nutrition
10.1093/cdn/nzab033_052,Red Meat Consumption and Risk of Frailty in Older Women,Current Developments in Nutrition
10.1093/cdn/nzac082,Plasma Amino Acid Appearance and Status of Appetite Following a Single Meal of Red Meat or a Plant-based Meat Analog: A Randomized Crossover Clinical Trial,Current Developments in Nutrition
10.1093/cdn/nzab053_082,Optimizing the Nutritional Composition of a Meat Substitute Intended to Replace Meat in Observed Diet Results in Marked Improvement of the Diet Quality of French Adults,Current Developments in Nutrition
10.1093/cdn/nzac054.058,Impact of Replacing Meat With Walnuts: Results of an NHANES Modeling Study,Current Developments in Nutrition
10.1093/cdn/nzac054.018,"A Sweets, Sugared Drink and Dairy Desserts and a Meat, Processed Meat Dietary Pattern is Associated with Higher Odds of Osteoporosis in Puerto Rican Men and Postmenopausal Women",Current Developments in Nutrition
10.1093/cdn/nzac078.010,Recognizing Low Genetic Risk Is Associated With Decreased Anxiety Level and Increased Meat Consumption,Current Developments in Nutrition
10.1093/cdn/nzac058.003,Effects of Red Meat and Proton Pump Inhibitors on Rat Gut pH and Claudin-2,Current Developments in Nutrition
10.1093/cdn/nzac059.004,"College Students’ Awareness, Beliefs, Attitudes and Consumption Intention Towards Plant-Based Meat and Its Environmental Impact",Current Developments in Nutrition
10.1093/cdn/nzac058.008,Effects of Red Meat Consumption With Proton Pump Inhibitors on Cardiovascular Disease Risk Factors in Rats,Current Developments in Nutrition
10.1093/cdn/nzac059.009,"What Are the Predictors, Motivators, and Barriers to Reducing Meat and Following a More Plant-Based Diet?",Current Developments in Nutrition
10.1093/cdn/nzab041_037,Red Meat Intake and Glycemic and Insulinemic Risk Factors for Type 2 Diabetes: A Systematic Review and Meta-Analysis,Current Developments in Nutrition
10.1093/cdn/nzac069.041,Effects of Adding Lean Red Meat to A Vegetarian Diet on Gut Microbiota in Young Adults: A Randomized Controlled Trial,Current Developments in Nutrition
10.1093/cdn/nzac052.024,"Risk of Cancer in Regular and Low Meat-Eaters, Fish-Eaters, and Vegetarians: A Prospective Analysis of UK Biobank Participants",Current Developments in Nutrition
10.1093/cdn/nzab043_018,"A Comparison of the Sensory Experience, Health Values, and Environmental Values of Plant-Based Meal Choosers vs Meat-Based Meal Choosers",Current Developments in Nutrition
10.1093/cdn/nzab036_030,A Prospective Analysis of Red and Processed Meat Intake in Relation to Colorectal Cancer Incidence in the Black Women's Health Study,Current Developments in Nutrition
10.1093/cdn/nzac068.023,The Effects of Red Meat Intake on Inflammation Biomarkers in Humans: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,Current Developments in Nutrition
10.1093/cdn/nzac069.042,Meat Consumption and Gut Microbiota: A Scoping Review of Literature and Systematic Review of Randomized Controlled Trials in Adults Without Diagnosed Disease,Current Developments in Nutrition
10.1093/cdn/nzac067.061,Restricting Meta-Analyses’ Source Studies to Non-consumer Reference Groups Has Significant Effects on the Link between Processed Meat and Type II Diabetes,Current Developments in Nutrition
